time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_type,num_schools,headcount,perm_excl,perm_excl_rate,suspension,susp_rate,one_plus_susp,one_plus_susp_rate
Academic year,200607,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,special,6,398,1,0.25126,271,68.09045,66,16.58291
Academic year,200607,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Total,84,28856,37,0.12822,1935,6.70571,868,3.00804
Academic year,200607,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,special,7,569,2,0.35149,274,48.15466,79,13.88401
Academic year,200607,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,state-funded primary,32,9655,8,0.08286,155,1.60539,89,0.9218
Academic year,200607,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,special,4,276,0,0,50,18.11594,24,8.69565
Academic year,200607,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,special,4,307,0,0,31,10.09772,16,5.21173
Academic year,200607,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,state-funded secondary,4,3510,16,0.45584,337,9.60114,227,6.46724
Academic year,200607,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,special,6,491,0,0,39,7.94297,19,3.86965
Academic year,200607,Local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,special,7,443,2,0.45147,79,17.83296,24,5.41761
Academic year,200607,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,state-funded primary,69,22541,0,0,117,0.51905,62,0.27505
Academic year,200607,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,Total,91,37332,50,0.13393,1126,3.01618,747,2.00096
Academic year,200607,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,state-funded primary,56,17453,4,0.02292,220,1.26053,114,0.65318
Academic year,200607,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,state-funded secondary,9,8426,16,0.18989,1165,13.82625,717,8.50938
Academic year,200607,Local authority,E92000001,England,E13000001,Inner London,309,E09000014,Haringey,special,4,333,0,0,3,0.9009,2,0.6006
Academic year,200607,Local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,Total,59,31556,40,0.12676,934,2.95982,591,1.87286
Academic year,200607,Local authority,E92000001,England,E13000002,Outer London,302,E09000003,Barnet,Total,111,47145,57,0.1209,2167,4.59646,1289,2.73412
Academic year,200607,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,state-funded secondary,18,16669,12,0.07199,1499,8.99274,994,5.96317
Academic year,200607,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,special,5,535,0,0,123,22.99065,55,10.28037
Academic year,200607,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,special,12,1188,0,0,176,14.81481,58,4.88215
Academic year,200607,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,state-funded primary,142,21521,1,0.00465,103,0.4786,58,0.2695
Academic year,200607,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,special,9,1072,2,0.18657,95,8.86194,35,3.26493
Academic year,200607,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Total,242,75682,132,0.17441,3671,4.85056,2055,2.71531
Academic year,200607,Local authority,E92000001,England,E12000006,East of England,820,x,Bedfordshire,state-funded secondary,56,37798,62,0.16403,2537,6.712,1441,3.81237
Academic year,200607,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,state-funded primary,201,43576,0,0,375,0.86057,176,0.40389
Academic year,200607,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,state-funded secondary,52,47103,75,0.15923,4508,9.57052,2450,5.20137
Academic year,200607,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,special,6,578,1,0.17301,72,12.45675,50,8.65052
