time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,school_type,characteristic_group,characteristic,headcount,perm_excl,perm_excl_rate,suspension,susp_rate,one_plus_susp,one_plus_susp_rate
Academic year,201112,National,E92000001,England,,,,,,State-funded primary,Total,Total,4217001,690,0.016362339,37788,0.896087053,19628,0.465449261
Academic year,201112,National,E92000001,England,,,,,,Total,Total,Total,7546456,5166,0.068455975,304372,4.033310471,162402,2.152030039
Academic year,201314,National,E92000001,England,,,,,,State-funded primary,Total,Total,4416708,872,0.019743211,45007,1.019016879,21650,0.490184092
Academic year,201415,National,E92000001,England,,,,,,Total,Total,Total,7799006,5795,0.074304341,302975,3.884789933,154058,1.975354295
Academic year,201011,National,E92000001,England,,,,,,State-funded primary,Total,Total,4137755,606,0.014645623,37788,0.913248851,19728,0.476780283
Academic year,201011,National,E92000001,England,,,,,,State-funded secondary,Total,Total,3262633,4368,0.1338796,271976,8.336089287,148902,4.563859925
Academic year,201415,National,E92000001,England,,,,,,State-funded primary,Total,Total,4510308,917,0.020331206,49653,1.100878255,23628,0.523866663
Academic year,201415,National,E92000001,England,,,,,,State-funded secondary,Total,Total,3184728,4786,0.15027971,239240,7.512101504,124993,3.924762177
Academic year,200607,National,E92000001,England,,,,,,State-funded special,Total,Total,90597,164,0.181021447,16598,18.32069495,6336,6.99360906
Academic year,200708,National,E92000001,England,,,,,,State-funded primary,Total,Total,4090402,964.00001,0.023567366,43294,1.058428976,22462,0.54913918
Academic year,200809,National,E92000001,England,,,,,,Total,Total,Total,7446642,6379,0.085662773,355139,4.769116066,190721,2.561167839
Academic year,200607,National,E92000001,England,,,,,,State-funded primary,Total,Total,4110749,972,0.023645326,45719,1.112181746,23651,0.575345272
Academic year,200607,National,E92000001,England,,,,,,Total,Total,Total,7526970,8658,0.115026365,425588,5.654174256,227127,3.017509038
Academic year,201314,National,E92000001,England,,,,,,State-funded secondary,Total,Total,3181361,4004,0.125858084,210578,6.619116787,115673,3.635959578
Academic year,201314,National,E92000001,England,,,,,,Total,Total,Total,7698308,4949,0.064286854,269475,3.500444513,142845,1.855537606
Academic year,200809,National,E92000001,England,,,,,,State-funded secondary,Total,Total,3278129,5553,0.169395408,300701,9.172945909,164342,5.013286542
